species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
1.0;3.0;36.0;17.8;195.0;3450.0;2.0;
1.0;3.0;40.2;17.1;193.0;3400.0;2.0;
1.0;2.0;37.7;16.0;183.0;3075.0;2.0;
1.0;1.0;39.6;17.2;196.0;3550.0;2.0;
1.0;2.0;35.7;16.9;185.0;3150.0;2.0;
1.0;3.0;39.7;17.9;193.0;4250.0;1.0;
1.0;1.0;41.5;18.3;195.0;4300.0;1.0;
1.0;1.0;44.1;18.0;210.0;4000.0;1.0;
1.0;1.0;39.0;17.1;191.0;3050.0;2.0;
1.0;3.0;41.3;20.3;194.0;3550.0;1.0;
1.0;3.0;40.6;17.2;187.0;3475.0;1.0;
1.0;1.0;41.8;19.4;198.0;4450.0;1.0;
1.0;2.0;37.6;17.0;185.0;3600.0;2.0;
1.0;1.0;38.8;17.6;191.0;3275.0;2.0;
1.0;2.0;39.7;18.9;184.0;3550.0;1.0;
1.0;2.0;39.0;17.5;186.0;3550.0;2.0;
1.0;3.0;36.6;18.4;184.0;3475.0;2.0;
1.0;3.0;39.6;18.1;186.0;4450.0;1.0;
1.0;1.0;39.2;19.6;195.0;4675.0;1.0;
1.0;2.0;41.3;21.1;195.0;4400.0;1.0;
1.0;1.0;39.1;18.7;181.0;3750.0;1.0;
1.0;3.0;38.9;18.8;190.0;3600.0;2.0;
1.0;1.0;43.1;19.2;197.0;3500.0;1.0;
1.0;1.0;36.2;17.2;187.0;3150.0;2.0;
1.0;3.0;39.0;18.7;185.0;3650.0;1.0;
1.0;3.0;35.7;18.0;202.0;3550.0;2.0;
1.0;1.0;38.6;21.2;191.0;3800.0;1.0;
1.0;2.0;35.9;19.2;189.0;3800.0;2.0;
1.0;2.0;35.5;16.2;195.0;3350.0;2.0;
1.0;2.0;35.0;17.9;192.0;3725.0;2.0;
1.0;3.0;34.0;17.1;185.0;3400.0;2.0;
1.0;3.0;36.2;17.3;187.0;3300.0;2.0;
1.0;2.0;41.6;18.0;192.0;3950.0;1.0;
1.0;1.0;40.9;16.8;191.0;3700.0;2.0;
1.0;1.0;42.5;20.7;197.0;4500.0;1.0;
1.0;1.0;38.7;19.0;195.0;3450.0;2.0;
1.0;1.0;40.3;18.0;195.0;3250.0;2.0;
1.0;1.0;35.2;15.9;186.0;3050.0;2.0;
1.0;1.0;36.2;16.1;187.0;3550.0;2.0;
1.0;3.0;44.1;19.7;196.0;4400.0;1.0;
1.0;1.0;39.5;17.4;186.0;3800.0;2.0;
1.0;1.0;36.7;18.8;187.0;3800.0;2.0;
1.0;2.0;39.6;17.7;186.0;3500.0;2.0;
2.0;3.0;45.9;17.1;190.0;3575.0;2.0;
2.0;3.0;50.6;19.4;193.0;3800.0;1.0;
2.0;3.0;45.7;17.0;195.0;3650.0;2.0;
2.0;3.0;46.2;17.5;187.0;3650.0;2.0;
2.0;3.0;58.0;17.8;181.0;3700.0;2.0;
2.0;3.0;50.5;18.4;200.0;3400.0;2.0;
