species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
1.0;1.0;0.24;0.702;0.39;0.208;2.0;
1.0;2.0;0.309;0.679;0.356;0.306;1.0;
1.0;3.0;0.298;0.643;0.407;0.458;1.0;
1.0;1.0;0.364;0.714;0.39;0.361;1.0;
1.0;1.0;0.204;0.798;0.441;0.222;1.0;
1.0;1.0;0.505;1.0;0.373;0.417;1.0;
1.0;3.0;0.149;0.5;0.254;0.167;2.0;
1.0;3.0;0.142;0.643;0.237;0.111;2.0;
1.0;2.0;0.105;0.571;0.339;0.285;2.0;
1.0;2.0;0.345;0.583;0.339;0.347;1.0;
1.0;3.0;0.164;0.631;0.203;0.215;2.0;
1.0;2.0;0.309;0.655;0.186;0.236;1.0;
1.0;2.0;0.211;0.655;0.0;0.125;2.0;
1.0;3.0;0.244;0.821;0.305;0.347;1.0;
1.0;3.0;0.142;0.476;0.254;0.278;2.0;
1.0;3.0;0.269;0.429;0.102;0.153;2.0;
1.0;1.0;0.258;0.774;0.39;0.549;1.0;
1.0;2.0;0.156;0.476;0.203;0.042;2.0;
1.0;2.0;0.211;0.655;0.356;0.062;2.0;
1.0;2.0;0.204;0.345;0.186;0.104;2.0;
1.0;1.0;0.251;0.476;0.322;0.097;2.0;
1.0;2.0;0.335;0.952;0.39;0.472;1.0;
1.0;3.0;0.316;0.69;0.61;0.444;1.0;
1.0;1.0;0.124;0.524;0.305;0.278;2.0;
1.0;2.0;0.218;0.464;0.153;0.132;2.0;
1.0;2.0;0.273;0.905;0.322;0.333;2.0;
1.0;1.0;0.244;0.536;0.322;0.16;2.0;
1.0;2.0;0.276;0.548;0.356;0.139;2.0;
1.0;2.0;0.367;0.762;0.424;0.438;1.0;
1.0;3.0;0.367;0.643;0.136;0.236;2.0;
1.0;2.0;0.2;0.714;0.373;0.292;1.0;
1.0;3.0;0.153;0.762;0.305;0.306;1.0;
1.0;2.0;0.116;0.69;0.254;0.306;2.0;
1.0;1.0;0.273;0.488;0.407;0.236;2.0;
1.0;1.0;0.167;0.679;0.254;0.306;2.0;
1.0;1.0;0.185;0.75;0.203;0.333;1.0;
1.0;3.0;0.185;0.595;0.102;0.333;1.0;
1.0;3.0;0.0;0.286;0.271;0.097;2.0;
1.0;1.0;0.236;0.464;0.271;0.056;2.0;
1.0;2.0;0.324;0.821;0.525;0.562;1.0;
1.0;1.0;0.091;0.488;0.288;0.139;2.0;
1.0;1.0;0.109;0.75;0.356;0.417;1.0;
1.0;1.0;0.138;0.417;0.305;0.097;2.0;
2.0;3.0;0.705;0.667;0.254;0.153;1.0;
2.0;3.0;0.487;0.464;0.407;0.222;2.0;
2.0;3.0;0.495;0.464;0.39;0.264;2.0;
2.0;3.0;0.476;0.56;0.441;0.347;2.0;
2.0;3.0;0.644;0.5;0.441;0.271;2.0;
2.0;3.0;0.651;0.762;0.407;0.333;1.0;
2.0;3.0;0.724;0.702;0.424;0.403;1.0;
2.0;3.0;0.495;0.5;0.356;0.25;2.0;
2.0;3.0;0.68;0.702;0.644;0.389;1.0;
2.0;3.0;0.531;0.571;0.39;0.167;2.0;
2.0;3.0;0.52;0.56;0.322;0.278;2.0;
2.0;3.0;0.64;0.655;0.39;0.25;1.0;
2.0;3.0;0.662;0.821;0.424;0.167;1.0;
2.0;3.0;0.527;0.56;0.356;0.306;2.0;
2.0;3.0;0.52;0.655;0.305;0.208;2.0;
2.0;3.0;0.636;0.607;0.356;0.299;1.0;
2.0;3.0;0.615;0.774;0.678;0.444;1.0;
2.0;3.0;0.404;0.417;0.254;0.056;2.0;
2.0;3.0;0.68;0.643;0.492;0.486;1.0;
2.0;3.0;0.378;0.429;0.254;0.181;2.0;
3.0;2.0;0.633;0.369;0.966;0.861;1.0;
3.0;2.0;0.836;0.345;0.983;0.875;1.0;
3.0;2.0;0.698;0.131;0.78;0.722;1.0;
3.0;2.0;0.651;0.381;0.983;0.833;1.0;
3.0;2.0;0.498;0.179;0.644;0.417;2.0;
3.0;2.0;0.32;0.071;0.712;0.542;2.0;
3.0;2.0;0.52;0.226;0.746;0.556;2.0;
3.0;2.0;0.538;0.179;0.847;0.604;2.0;
3.0;2.0;0.691;0.381;0.814;0.917;1.0;
3.0;2.0;0.549;0.286;0.729;0.632;2.0;
3.0;2.0;0.647;0.357;0.695;0.75;1.0;
3.0;2.0;0.389;0.131;0.627;0.556;2.0;
3.0;2.0;0.433;0.06;0.61;0.458;2.0;
3.0;2.0;0.607;0.369;0.847;0.917;1.0;
3.0;2.0;0.527;0.131;0.644;0.597;2.0;
3.0;2.0;0.411;0.155;0.78;0.528;2.0;
