species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
1.0;2.0;0.338;0.655;0.322;0.278;1.0;
1.0;3.0;0.316;0.631;0.39;0.333;1.0;
1.0;1.0;0.244;0.536;0.322;0.16;2.0;
1.0;1.0;0.189;0.881;0.458;0.299;1.0;
1.0;2.0;0.222;0.595;0.22;0.347;1.0;
1.0;3.0;0.16;0.583;0.169;0.125;2.0;
1.0;2.0;0.309;0.679;0.356;0.306;1.0;
1.0;3.0;0.258;0.655;0.305;0.431;1.0;
1.0;3.0;0.142;0.571;0.305;0.208;2.0;
1.0;2.0;0.105;0.571;0.339;0.285;2.0;
1.0;1.0;0.051;0.702;0.305;0.25;2.0;
2.0;3.0;0.56;0.44;0.458;0.333;2.0;
2.0;3.0;0.491;0.75;0.373;0.229;2.0;
2.0;3.0;0.72;0.762;0.576;0.347;1.0;
2.0;3.0;0.673;0.75;0.356;0.306;1.0;
2.0;3.0;0.778;0.81;0.559;0.5;1.0;
3.0;2.0;0.549;0.286;0.729;0.632;2.0;
3.0;2.0;0.676;0.226;0.864;0.792;1.0;
3.0;2.0;0.513;0.214;0.831;0.722;1.0;
3.0;2.0;0.531;0.262;0.797;0.694;1.0;
3.0;2.0;0.665;0.262;0.881;0.792;1.0;
3.0;2.0;0.655;0.226;0.898;0.639;1.0;
3.0;2.0;0.524;0.155;0.763;0.611;2.0;
3.0;2.0;0.393;0.0;0.729;0.639;2.0;
3.0;2.0;0.56;0.226;0.78;0.625;2.0;
