species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
1.0;1.0;39.1;18.7;181.0;0.292;1.0;
1.0;1.0;39.5;17.4;186.0;0.306;2.0;
1.0;1.0;40.3;18.0;195.0;0.153;2.0;
1.0;1.0;36.7;19.3;193.0;0.208;2.0;
1.0;1.0;39.3;20.6;190.0;0.264;1.0;
1.0;1.0;38.9;17.8;181.0;0.257;2.0;
1.0;1.0;39.2;19.6;195.0;0.549;1.0;
1.0;1.0;41.1;17.6;182.0;0.139;2.0;
1.0;1.0;38.6;21.2;191.0;0.306;1.0;
1.0;1.0;34.6;21.1;198.0;0.472;1.0;
1.0;1.0;36.6;17.8;185.0;0.278;2.0;
1.0;1.0;38.7;19.0;195.0;0.208;2.0;
1.0;1.0;42.5;20.7;197.0;0.5;1.0;
1.0;1.0;34.4;18.4;184.0;0.174;2.0;
1.0;1.0;46.0;21.5;194.0;0.417;1.0;
1.0;2.0;37.8;18.3;174.0;0.194;2.0;
1.0;2.0;37.7;18.7;180.0;0.25;1.0;
1.0;2.0;35.9;19.2;189.0;0.306;2.0;
1.0;2.0;38.2;18.1;185.0;0.347;1.0;
1.0;2.0;38.8;17.2;180.0;0.306;1.0;
1.0;2.0;35.3;18.9;187.0;0.306;2.0;
1.0;2.0;40.6;18.6;183.0;0.236;1.0;
1.0;2.0;40.5;17.9;187.0;0.139;2.0;
1.0;2.0;37.9;18.6;172.0;0.125;2.0;
1.0;2.0;40.5;18.9;180.0;0.347;1.0;
1.0;3.0;39.5;16.7;178.0;0.153;2.0;
1.0;3.0;37.2;18.1;178.0;0.333;1.0;
1.0;3.0;39.5;17.8;188.0;0.167;2.0;
1.0;3.0;40.9;18.9;184.0;0.333;1.0;
1.0;3.0;36.4;17.0;195.0;0.174;2.0;
1.0;3.0;39.2;21.1;196.0;0.403;1.0;
1.0;3.0;38.8;20.0;190.0;0.347;1.0;
1.0;3.0;42.2;18.5;180.0;0.236;2.0;
1.0;3.0;37.6;19.3;181.0;0.167;2.0;
1.0;3.0;39.8;19.1;184.0;0.542;1.0;
1.0;3.0;36.5;18.0;182.0;0.125;2.0;
1.0;3.0;40.8;18.4;195.0;0.333;1.0;
1.0;3.0;36.0;18.5;186.0;0.111;2.0;
1.0;3.0;44.1;19.7;196.0;0.472;1.0;
1.0;3.0;37.0;16.9;185.0;0.083;2.0;
1.0;3.0;39.6;18.8;190.0;0.528;1.0;
1.0;3.0;41.1;19.0;182.0;0.201;1.0;
1.0;3.0;36.0;17.9;190.0;0.208;2.0;
1.0;3.0;42.3;21.2;191.0;0.403;1.0;
1.0;2.0;39.6;17.7;186.0;0.222;2.0;
1.0;2.0;40.1;18.9;188.0;0.444;1.0;
1.0;2.0;35.0;17.9;190.0;0.208;2.0;
1.0;2.0;42.0;19.5;200.0;0.375;1.0;
1.0;2.0;34.5;18.1;187.0;0.056;2.0;
1.0;2.0;41.4;18.6;191.0;0.278;1.0;
1.0;2.0;39.0;17.5;186.0;0.236;2.0;
1.0;2.0;40.6;18.8;193.0;0.306;1.0;
1.0;2.0;36.5;16.6;181.0;0.042;2.0;
1.0;2.0;37.6;19.1;194.0;0.292;1.0;
1.0;2.0;35.7;16.9;185.0;0.125;2.0;
1.0;2.0;41.3;21.1;195.0;0.472;1.0;
1.0;2.0;37.6;17.0;185.0;0.25;2.0;
1.0;2.0;41.1;18.2;192.0;0.375;1.0;
1.0;2.0;36.4;17.1;184.0;0.042;2.0;
1.0;2.0;41.6;18.0;192.0;0.347;1.0;
1.0;2.0;35.5;16.2;195.0;0.181;2.0;
1.0;2.0;41.1;19.1;188.0;0.389;1.0;
1.0;1.0;35.9;16.6;190.0;0.097;2.0;
1.0;1.0;41.8;19.4;198.0;0.486;1.0;
1.0;1.0;33.5;19.0;190.0;0.25;2.0;
1.0;1.0;39.7;18.4;190.0;0.333;1.0;
1.0;1.0;39.6;17.2;196.0;0.236;2.0;
1.0;1.0;45.8;18.9;197.0;0.403;1.0;
1.0;1.0;35.5;17.5;190.0;0.278;2.0;
1.0;1.0;42.8;18.5;195.0;0.431;1.0;
1.0;1.0;40.9;16.8;191.0;0.278;2.0;
1.0;1.0;37.2;19.4;184.0;0.333;1.0;
1.0;1.0;36.2;16.1;187.0;0.236;2.0;
1.0;1.0;42.1;19.1;195.0;0.361;1.0;
1.0;1.0;34.6;17.2;189.0;0.139;2.0;
1.0;1.0;42.9;17.6;196.0;0.556;1.0;
1.0;1.0;36.7;18.8;187.0;0.306;2.0;
1.0;1.0;35.1;19.4;193.0;0.417;1.0;
1.0;3.0;37.3;17.8;191.0;0.181;2.0;
1.0;3.0;41.3;20.3;194.0;0.236;1.0;
1.0;3.0;36.3;19.5;190.0;0.306;1.0;
1.0;3.0;36.9;18.6;189.0;0.222;2.0;
1.0;3.0;38.3;19.2;189.0;0.347;1.0;
1.0;3.0;38.9;18.8;190.0;0.25;2.0;
1.0;3.0;35.7;18.0;202.0;0.236;2.0;
1.0;3.0;41.1;18.1;205.0;0.444;1.0;
1.0;3.0;34.0;17.1;185.0;0.194;2.0;
1.0;3.0;39.6;18.1;186.0;0.486;1.0;
1.0;3.0;36.2;17.3;187.0;0.167;2.0;
1.0;3.0;40.8;18.9;208.0;0.444;1.0;
1.0;3.0;38.1;18.6;190.0;0.278;2.0;
1.0;3.0;40.3;18.5;196.0;0.458;1.0;
1.0;3.0;33.1;16.1;178.0;0.056;2.0;
1.0;3.0;43.2;18.5;192.0;0.389;1.0;
1.0;2.0;35.0;17.9;192.0;0.285;2.0;
1.0;2.0;41.0;20.0;203.0;0.562;1.0;
1.0;2.0;37.7;16.0;183.0;0.104;2.0;
1.0;2.0;37.8;20.0;190.0;0.431;1.0;
1.0;2.0;37.9;18.6;193.0;0.062;2.0;
1.0;2.0;39.7;18.9;184.0;0.236;1.0;
1.0;2.0;38.6;17.2;199.0;0.292;2.0;
1.0;2.0;38.2;20.0;190.0;0.333;1.0;
1.0;2.0;38.1;17.0;181.0;0.132;2.0;
1.0;2.0;43.2;19.0;197.0;0.576;1.0;
1.0;2.0;38.1;16.5;198.0;0.312;2.0;
1.0;2.0;45.6;20.3;191.0;0.528;1.0;
1.0;2.0;39.7;17.7;193.0;0.139;2.0;
1.0;2.0;42.2;19.5;197.0;0.438;1.0;
1.0;2.0;39.6;20.7;191.0;0.333;2.0;
1.0;2.0;42.7;18.3;196.0;0.382;1.0;
1.0;1.0;38.6;17.0;188.0;0.056;2.0;
1.0;1.0;37.3;20.5;199.0;0.299;1.0;
1.0;1.0;35.7;17.0;189.0;0.181;2.0;
1.0;1.0;41.1;18.6;189.0;0.174;1.0;
1.0;1.0;36.2;17.2;187.0;0.125;2.0;
1.0;1.0;37.7;19.8;198.0;0.222;1.0;
1.0;1.0;40.2;17.0;176.0;0.208;2.0;
1.0;1.0;41.4;18.5;202.0;0.326;1.0;
1.0;1.0;35.2;15.9;186.0;0.097;2.0;
1.0;1.0;40.6;19.0;199.0;0.361;1.0;
1.0;1.0;38.8;17.6;191.0;0.16;2.0;
1.0;1.0;41.5;18.3;195.0;0.444;1.0;
1.0;1.0;39.0;17.1;191.0;0.097;2.0;
1.0;1.0;44.1;18.0;210.0;0.361;1.0;
1.0;1.0;38.5;17.9;190.0;0.174;2.0;
1.0;1.0;43.1;19.2;197.0;0.222;1.0;
1.0;3.0;36.8;18.5;193.0;0.222;2.0;
1.0;3.0;37.5;18.5;199.0;0.493;1.0;
1.0;3.0;38.1;17.6;187.0;0.201;2.0;
1.0;3.0;41.1;17.5;190.0;0.333;1.0;
1.0;3.0;35.6;17.5;191.0;0.132;2.0;
1.0;3.0;40.2;20.1;200.0;0.354;1.0;
1.0;3.0;37.0;16.5;185.0;0.194;2.0;
1.0;3.0;39.7;17.9;193.0;0.431;1.0;
1.0;3.0;40.2;17.1;193.0;0.194;2.0;
1.0;3.0;40.6;17.2;187.0;0.215;1.0;
1.0;3.0;32.1;15.5;188.0;0.097;2.0;
1.0;3.0;40.7;17.0;190.0;0.285;1.0;
1.0;3.0;37.3;16.8;192.0;0.083;2.0;
1.0;3.0;39.0;18.7;185.0;0.264;1.0;
1.0;3.0;39.2;18.6;190.0;0.431;1.0;
1.0;3.0;36.6;18.4;184.0;0.215;2.0;
1.0;3.0;36.0;17.8;195.0;0.208;2.0;
1.0;3.0;37.8;18.1;193.0;0.292;1.0;
1.0;3.0;36.0;17.1;187.0;0.278;2.0;
1.0;3.0;41.5;18.5;201.0;0.361;1.0;
2.0;3.0;46.5;17.9;192.0;0.222;2.0;
2.0;3.0;50.0;19.5;196.0;0.333;1.0;
2.0;3.0;51.3;19.2;193.0;0.264;1.0;
2.0;3.0;45.4;18.7;188.0;0.229;2.0;
2.0;3.0;52.7;19.8;197.0;0.285;1.0;
2.0;3.0;45.2;17.8;198.0;0.347;2.0;
2.0;3.0;46.1;18.2;178.0;0.153;2.0;
2.0;3.0;51.3;18.2;197.0;0.292;1.0;
2.0;3.0;46.0;18.9;195.0;0.403;2.0;
2.0;3.0;51.3;19.9;198.0;0.278;1.0;
2.0;3.0;46.6;17.8;193.0;0.306;2.0;
2.0;3.0;51.7;20.3;194.0;0.299;1.0;
2.0;3.0;47.0;17.3;185.0;0.278;2.0;
2.0;3.0;52.0;18.1;201.0;0.375;1.0;
2.0;3.0;45.9;17.1;190.0;0.243;2.0;
2.0;3.0;50.5;19.6;201.0;0.375;1.0;
2.0;3.0;50.3;20.0;197.0;0.167;1.0;
2.0;3.0;58.0;17.8;181.0;0.278;2.0;
2.0;3.0;46.4;18.6;190.0;0.208;2.0;
2.0;3.0;49.2;18.2;195.0;0.472;1.0;
2.0;3.0;42.4;17.3;181.0;0.25;2.0;
2.0;3.0;48.5;17.5;191.0;0.194;1.0;
2.0;3.0;43.2;16.6;187.0;0.056;2.0;
2.0;3.0;50.6;19.4;193.0;0.306;1.0;
2.0;3.0;46.7;17.9;195.0;0.167;2.0;
2.0;3.0;52.0;19.0;197.0;0.403;1.0;
2.0;3.0;50.5;18.4;200.0;0.194;2.0;
2.0;3.0;49.5;19.0;200.0;0.306;1.0;
2.0;3.0;46.4;17.8;191.0;0.278;2.0;
2.0;3.0;52.8;20.0;205.0;0.514;1.0;
2.0;3.0;40.9;16.6;187.0;0.139;2.0;
2.0;3.0;54.2;20.8;201.0;0.444;1.0;
2.0;3.0;42.5;16.7;187.0;0.181;2.0;
2.0;3.0;51.0;18.8;203.0;0.389;1.0;
2.0;3.0;49.7;18.6;195.0;0.25;1.0;
2.0;3.0;47.5;16.8;199.0;0.333;2.0;
2.0;3.0;47.6;18.3;195.0;0.319;2.0;
2.0;3.0;52.0;20.7;210.0;0.583;1.0;
2.0;3.0;46.9;16.6;192.0;0.0;2.0;
2.0;3.0;53.5;19.9;205.0;0.5;1.0;
2.0;3.0;49.0;19.5;210.0;0.347;1.0;
2.0;3.0;46.2;17.5;187.0;0.264;2.0;
2.0;3.0;50.9;19.1;196.0;0.236;1.0;
2.0;3.0;45.5;17.0;196.0;0.222;2.0;
2.0;3.0;50.9;17.9;196.0;0.271;2.0;
2.0;3.0;50.8;18.5;201.0;0.486;1.0;
2.0;3.0;50.1;17.9;190.0;0.194;2.0;
2.0;3.0;49.0;19.6;212.0;0.444;1.0;
2.0;3.0;51.5;18.7;187.0;0.153;1.0;
2.0;3.0;49.8;17.3;198.0;0.271;2.0;
2.0;3.0;48.1;16.4;199.0;0.174;2.0;
2.0;3.0;51.4;19.0;201.0;0.347;1.0;
2.0;3.0;45.7;17.3;193.0;0.25;2.0;
2.0;3.0;50.7;19.7;203.0;0.375;1.0;
2.0;3.0;42.5;17.3;187.0;0.181;2.0;
2.0;3.0;52.2;18.8;197.0;0.208;1.0;
2.0;3.0;45.2;16.6;191.0;0.153;2.0;
2.0;3.0;49.3;19.9;203.0;0.375;1.0;
2.0;3.0;50.2;18.8;202.0;0.306;1.0;
2.0;3.0;45.6;19.4;194.0;0.229;2.0;
2.0;3.0;51.9;19.5;206.0;0.347;1.0;
2.0;3.0;46.8;16.5;189.0;0.264;2.0;
2.0;3.0;45.7;17.0;195.0;0.264;2.0;
2.0;3.0;55.8;19.8;207.0;0.361;1.0;
2.0;3.0;43.5;18.1;202.0;0.194;2.0;
2.0;3.0;49.6;18.2;193.0;0.299;1.0;
2.0;3.0;50.8;19.0;210.0;0.389;1.0;
2.0;3.0;50.2;18.7;198.0;0.299;2.0;
3.0;2.0;46.1;13.2;211.0;0.5;2.0;
3.0;2.0;50.0;16.3;230.0;0.833;1.0;
3.0;2.0;48.7;14.1;210.0;0.486;2.0;
3.0;2.0;50.0;15.2;218.0;0.833;1.0;
3.0;2.0;47.6;14.5;215.0;0.75;1.0;
3.0;2.0;46.5;13.5;210.0;0.514;2.0;
3.0;2.0;45.4;14.6;211.0;0.583;2.0;
3.0;2.0;46.7;15.3;219.0;0.694;1.0;
3.0;2.0;43.3;13.4;209.0;0.472;2.0;
3.0;2.0;46.8;15.4;215.0;0.681;1.0;
3.0;2.0;40.9;13.7;214.0;0.542;2.0;
3.0;2.0;49.0;16.1;216.0;0.792;1.0;
3.0;2.0;45.5;13.7;214.0;0.542;2.0;
3.0;2.0;48.4;14.6;213.0;0.875;1.0;
3.0;2.0;45.8;14.6;210.0;0.417;2.0;
3.0;2.0;49.3;15.7;217.0;0.875;1.0;
3.0;2.0;42.0;13.5;210.0;0.403;2.0;
3.0;2.0;49.2;15.2;221.0;1.0;1.0;
3.0;2.0;46.2;14.5;209.0;0.583;2.0;
3.0;2.0;48.7;15.1;222.0;0.736;1.0;
3.0;2.0;50.2;14.3;218.0;0.833;1.0;
3.0;2.0;45.1;14.5;215.0;0.639;2.0;
3.0;2.0;46.5;14.5;213.0;0.472;2.0;
3.0;2.0;46.3;15.8;215.0;0.653;1.0;
3.0;2.0;42.9;13.1;215.0;0.639;2.0;
3.0;2.0;46.1;15.1;215.0;0.667;1.0;
3.0;2.0;47.8;15.0;215.0;0.819;1.0;
3.0;2.0;48.2;14.3;210.0;0.528;2.0;
3.0;2.0;50.0;15.3;220.0;0.792;1.0;
3.0;2.0;47.3;15.3;222.0;0.708;1.0;
3.0;2.0;42.8;14.2;209.0;0.556;2.0;
